"Carimbo de data/hora","Você trabalha (ou pretende trabalhar) na área de tecnologia?","Você está em busca da sua primeira oportunidade na sua área de atuação?","Quanto tempo demorou para encontrar um emprego na área?","Há quanto tempo você está buscando um emprego?","Você já vivenciou alguma(s) dessas situações?","Se sim, qual delas foi a mais recorrente?",""
"2021/02/05 9:29:59 PM GMT-3","Sim","Sim","","0 a 6 meses","Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos","Eu não tinha as qualificações exigidas",""
"2021/02/05 9:31:10 PM GMT-3","Sim","Sim","","0 a 6 meses","Não recebi feedback;Os requisitos nas vagas eram muito genéricos","Os requisitos nas vagas eram muito genéricos",""
"2021/02/05 9:32:06 PM GMT-3","Sim","Sim","","6 meses a 1 ano","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas","Os feedbacks recebidos não me ajudaram",""
"2021/02/05 9:38:20 PM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback;Os requisitos nas vagas eram muito genéricos","Não recebi feedback","Mais de 9"
"2021/02/05 9:38:46 PM GMT-3","Sim","Não","6 meses a 1 ano","0 a 6 meses","Não vivi nenhuma dessas situações","","4 a 9 anos"
"2021/02/05 9:41:39 PM GMT-3","Sim","Não","0 a 6 meses","0 a 6 meses","Os feedbacks recebidos não me ajudaram;Os requisitos nas vagas eram muito genéricos","Os requisitos nas vagas eram muito genéricos","0  a  3 anos"
"2021/02/05 9:41:54 PM GMT-3","Sim","Não","6 meses a 1 ano","0 a 6 meses","","","4 a 9 anos"
"2021/02/05 9:43:30 PM GMT-3","Sim","Não","","","Não recebi feedback","Não recebi feedback","Mais de 9"
"2021/02/05 9:43:34 PM GMT-3","Sim","Não","0 a 6 meses","","Eu não tinha as qualificações exigidas","Eu não tinha as qualificações exigidas","0  a  3 anos"
"2021/02/05 9:43:58 PM GMT-3","Sim","Não","0 a 6 meses","0 a 6 meses","Eu não tinha as qualificações exigidas","Eu não tinha as qualificações exigidas","Mais de 9"
"2021/02/05 9:47:35 PM GMT-3","Sim","Não","6 meses a 1 ano","0 a 6 meses","Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos","Não recebi feedback","0  a  3 anos"
"2021/02/05 9:48:30 PM GMT-3","Sim","Não","6 meses a 1 ano","0 a 6 meses","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos;A cultura da empresa não tinha a ver comigo","Os feedbacks recebidos não me ajudaram","0  a  3 anos"
"2021/02/05 9:51:19 PM GMT-3","Sim","Não","0 a 6 meses","0 a 6 meses","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Os requisitos nas vagas eram muito genéricos;A cultura da empresa não tinha a ver comigo","Não recebi feedback","0  a  3 anos"
"2021/02/05 9:53:03 PM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback;Eu não tinha as qualificações exigidas","Eu não tinha as qualificações exigidas","0  a  3 anos"
"2021/02/05 9:53:26 PM GMT-3","Sim","Não","6 meses a 1 ano","6 meses a 1 ano","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas","Eu não tinha as qualificações exigidas","0  a  3 anos"
"2021/02/05 9:55:24 PM GMT-3","Sim","Sim","","0 a 6 meses","Não vivi nenhuma dessas situações","Não recebi feedback",""
"2021/02/05 9:57:09 PM GMT-3","Sim","Não","0 a 6 meses","0 a 6 meses","Não recebi feedback;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos","Os requisitos nas vagas eram muito genéricos","Mais de 9"
"2021/02/05 10:00:26 PM GMT-3","Sim","Sim","","Mais de um ano","Não recebi feedback","Não recebi feedback, UFMG não libera estágio nem por decreto",""
